                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96695,                 4.3732,                 1.3378,                0.07692,                 0.0141,                0.04551,                0.03654,                0.51064,                 3.7957,                 1.0544,             0.00010323,             0.00010323,             0.00010323
                      2,                0.77247,                 3.9376,                 1.1983,                0.03689,                 0.8357,                0.15618,                0.13765,                0.49915,                 3.2881,                 1.0055,             0.00020564,             0.00020564,             0.00020564
                      3,                0.80123,                 3.5651,                 1.2273,                0.58253,                0.12382,                0.26019,                0.23267,                0.50037,                 2.8402,                 1.0033,             0.00030382,             0.00030382,             0.00030382
                      4,                0.79185,                 3.2543,                 1.2353,                0.64273,                0.15567,                0.30645,                0.26674,                0.54321,                 2.7308,                 1.0409,             0.00031322,             0.00031322,             0.00031322
                      5,                0.77916,                 3.0126,                 1.2089,                 0.2495,                0.56235,                0.46348,                0.39862,                0.57909,                 2.0751,                 1.1115,             0.00030663,             0.00030663,             0.00030663
                      6,                0.81199,                 2.8646,                 1.2315,                0.32275,                0.62765,                0.50388,                0.44205,                0.52378,                 2.0702,                 1.0147,             0.00030003,             0.00030003,             0.00030003
                      7,                0.79258,                 2.7537,                 1.2287,                0.62462,                0.49167,                0.60923,                0.54068,                0.51349,                 1.8227,                 1.0105,             0.00029344,             0.00029344,             0.00029344
                      8,                0.76822,                 2.5888,                 1.1922,                0.50156,                0.64503,                 0.6635,                0.58505,                0.52476,                 1.6304,                 1.0149,             0.00028685,             0.00028685,             0.00028685
                      9,                0.75791,                 2.4552,                 1.1869,                 0.4423,                0.67963,                 0.6399,                0.57547,                0.50617,                 1.6583,                0.98806,             0.00028025,             0.00028025,             0.00028025
                     10,                0.70368,                 2.2884,                 1.1334,                0.65056,                0.62861,                0.70275,                0.64291,                0.46079,                 1.4378,                0.98768,             0.00027366,             0.00027366,             0.00027366
                     11,                0.73752,                 2.1993,                 1.1639,                 0.6993,                0.65884,                 0.7595,                0.69392,                0.47358,                 1.3421,                 0.9833,             0.00026707,             0.00026707,             0.00026707
                     12,                0.67924,                 2.1146,                 1.1254,                0.66079,                0.73578,                0.76302,                0.69708,                0.46354,                 1.3582,                0.97554,             0.00026047,             0.00026047,             0.00026047
                     13,                0.69852,                 2.0026,                 1.1368,                0.68463,                0.67526,                0.75775,                0.68198,                0.46193,                 1.3668,                 0.9586,             0.00025388,             0.00025388,             0.00025388
